
number of trainable parameters: 3.27M
Epoch [1/1], eval_loss: 10.8248
Epoch [1/1], Step [15900/473591], Loss: 5.8041
Epoch [1/1], Step [16000/473591], Loss: 5.7961
Epoch [1/1], Step [16100/473591], Loss: 5.7887
Epoch [1/1], Step [16200/473591], Loss: 5.7812
Epoch [1/1], Step [16300/473591], Loss: 5.7735
Epoch [1/1], Step [16400/473591], Loss: 5.7663
Epoch [1/1], Step [16500/473591], Loss: 5.7591
Epoch [1/1], Step [16600/473591], Loss: 5.7514
Epoch [1/1], Step [16700/473591], Loss: 5.7433
Epoch [1/1], Step [16800/473591], Loss: 5.7364
Epoch [1/1], Step [16900/473591], Loss: 5.7297
Epoch [1/1], Step [17000/473591], Loss: 5.7232
Epoch [1/1], Step [17100/473591], Loss: 5.7161
Epoch [1/1], Step [17200/473591], Loss: 5.7093
Epoch [1/1], Step [17300/473591], Loss: 5.7026
Epoch [1/1], Step [17400/473591], Loss: 5.6960
Epoch [1/1], Step [17500/473591], Loss: 5.6892
Epoch [1/1], Step [17600/473591], Loss: 5.6821
Epoch [1/1], Step [17700/473591], Loss: 5.6753
Epoch [1/1], Step [17800/473591], Loss: 5.6691
Epoch [1/1], Step [17900/473591], Loss: 5.6622
Epoch [1/1], Step [18000/473591], Loss: 5.6557
Epoch [1/1], Step [18100/473591], Loss: 5.6493
Epoch [1/1], Step [18200/473591], Loss: 5.6429
Epoch [1/1], Step [18300/473591], Loss: 5.6364
Epoch [1/1], Step [18400/473591], Loss: 5.6305
Epoch [1/1], Step [18500/473591], Loss: 5.6236
Epoch [1/1], Step [18600/473591], Loss: 5.6176
Epoch [1/1], Step [18700/473591], Loss: 5.6113
Epoch [1/1], Step [18800/473591], Loss: 5.6050
Epoch [1/1], Step [18900/473591], Loss: 5.5989
Epoch [1/1], Step [19000/473591], Loss: 5.5925
Epoch [1/1], Step [19100/473591], Loss: 5.5869
Epoch [1/1], Step [19200/473591], Loss: 5.5810
Epoch [1/1], Step [19300/473591], Loss: 5.5749
Epoch [1/1], Step [19400/473591], Loss: 5.5688
Epoch [1/1], Step [19500/473591], Loss: 5.5631
Epoch [1/1], Step [19600/473591], Loss: 5.5568
Epoch [1/1], Step [19700/473591], Loss: 5.5508
Epoch [1/1], Step [19800/473591], Loss: 5.5448
Epoch [1/1], Step [19900/473591], Loss: 5.5387
Epoch [1/1], Step [20000/473591], Loss: 5.5329
Epoch [1/1], eval_loss: 4.4024
Epoch [1/1], Step [20100/473591], Loss: 5.5272
Epoch [1/1], Step [20200/473591], Loss: 5.5217
Epoch [1/1], Step [20300/473591], Loss: 5.5158
Epoch [1/1], Step [20400/473591], Loss: 5.5101
Epoch [1/1], Step [20500/473591], Loss: 5.5043
Epoch [1/1], Step [20600/473591], Loss: 5.4989
Epoch [1/1], Step [20700/473591], Loss: 5.4937
Epoch [1/1], Step [20800/473591], Loss: 5.4884
Epoch [1/1], Step [20900/473591], Loss: 5.4834
